CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Diluicao_Potencial;Preco_Medio_Ponderado_Opcoes_Em_Aberto;Preco_Medio_Ponderado_Opcoes_Perdidas;Preco_Medio_Ponderado_Opcoes_Exercidas
08.065.557/0001-12;2025-12-31;5;154679;TECNISA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;1.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2025-12-31;5;154679;TECNISA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;6.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2025-12-31;5;154679;TECNISA S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2025-12-31;5;154679;TECNISA S.A.;2024-01-01;2024-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2025-12-31;5;154679;TECNISA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2025-12-31;5;154679;TECNISA S.A.;2025-01-01;2025-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2025-12-31;5;154679;TECNISA S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;5.00;5.00;0.000000;0.00;0.00;0.00
08.078.847/0001-09;2025-12-31;2;151532;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.960000;3.89;0.00;0.00
08.078.847/0001-09;2025-12-31;2;151532;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.960000;3.89;0.00;0.00
08.078.847/0001-09;2025-12-31;2;151532;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.42;4.42;2.540000;3.25;0.00;0.00
08.159.965/0001-33;2025-12-31;12;154120;IGUA SANEAMENTO S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;5.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2025-12-31;12;154120;IGUA SANEAMENTO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2025-12-31;12;154120;IGUA SANEAMENTO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;0.000000;2.98;0.00;0.00
08.159.965/0001-33;2025-12-31;12;154120;IGUA SANEAMENTO S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2025-12-31;12;154120;IGUA SANEAMENTO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2025-12-31;12;154120;IGUA SANEAMENTO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;6.00;6.00;0.000000;2.10;0.00;0.00
08.159.965/0001-33;2025-12-31;12;154120;IGUA SANEAMENTO S.A.;2024-01-01;2024-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2025-12-31;12;154120;IGUA SANEAMENTO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2025-12-31;12;154120;IGUA SANEAMENTO S.A.;2025-01-01;2025-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2025-12-31;12;154120;IGUA SANEAMENTO S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;5.00;5.00;0.000000;0.00;0.00;0.00
08.170.849/0001-15;2025-12-31;8;154571;DESKTOP S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;0.500000;12.40;0.00;5.90
08.170.849/0001-15;2025-12-31;8;154571;DESKTOP S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.16;5.16;1.000000;18.87;0.00;4.94
08.170.849/0001-15;2025-12-31;8;154571;DESKTOP S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.83;5.83;0.500000;7.60;0.00;7.10
08.170.849/0001-15;2025-12-31;8;154571;DESKTOP S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;5.25;5.25;0.300000;7.80;0.00;7.31
08.294.224/0001-65;2025-12-31;12;154695;JHSF PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.00;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2025-12-31;12;154695;JHSF PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.000000;5.82;0.00;4.61
08.294.224/0001-65;2025-12-31;12;154695;JHSF PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2025-12-31;12;154695;JHSF PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.67;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2025-12-31;12;154695;JHSF PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.000000;7.05;0.00;0.00
08.294.224/0001-65;2025-12-31;12;154695;JHSF PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2025-12-31;12;154695;JHSF PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2025-12-31;12;154695;JHSF PARTICIPACOES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;7.00;6.25;0.000000;6.43;0.00;0.00
08.294.224/0001-65;2025-12-31;12;154695;JHSF PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2025-12-31;12;154695;JHSF PARTICIPACOES S.A.;2025-01-01;2025-12-31;Conselho de Administração;6.00;1.00;0.000000;5.03;0.00;0.00
08.294.224/0001-65;2025-12-31;12;154695;JHSF PARTICIPACOES S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.25;4.25;0.000000;5.03;0.00;0.00
08.294.224/0001-65;2025-12-31;12;154695;JHSF PARTICIPACOES S.A.;2025-01-01;2025-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.322.396/0001-03;2025-03-31;4;150793;CERRADINHO BIOENERGIA S.A.;2023-04-01;2024-03-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.322.396/0001-03;2025-03-31;4;150793;CERRADINHO BIOENERGIA S.A.;2022-04-01;2023-03-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.322.396/0001-03;2025-03-31;4;150793;CERRADINHO BIOENERGIA S.A.;2021-04-01;2022-03-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.322.396/0001-03;2025-03-31;4;150793;CERRADINHO BIOENERGIA S.A.;2024-04-01;2025-03-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
08.343.492/0001-20;2025-12-31;10;154402;MRV ENGENHARIA E PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.92;1.00;3.230000;13.04;0.00;6.84
08.343.492/0001-20;2025-12-31;10;154402;MRV ENGENHARIA E PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;7.00;3.230000;13.04;0.00;6.84
08.343.492/0001-20;2025-12-31;10;154402;MRV ENGENHARIA E PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;1.00;3.050000;12.50;0.00;0.00
08.343.492/0001-20;2025-12-31;10;154402;MRV ENGENHARIA E PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;7.92;7.92;3.050000;12.50;0.00;0.00
08.343.492/0001-20;2025-12-31;10;154402;MRV ENGENHARIA E PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.50;1.00;3.150000;11.68;0.00;0.00
08.343.492/0001-20;2025-12-31;10;154402;MRV ENGENHARIA E PARTICIPACOES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;9.00;9.00;3.150000;11.68;0.00;0.00
08.343.492/0001-20;2025-12-31;10;154402;MRV ENGENHARIA E PARTICIPACOES S.A.;2025-01-01;2025-12-31;Conselho de Administração;8.00;1.00;3.150000;11.68;0.00;0.00
08.343.492/0001-20;2025-12-31;10;154402;MRV ENGENHARIA E PARTICIPACOES S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;9.00;9.00;3.150000;11.68;0.00;0.00
08.397.078/0001-01;2025-12-31;5;152797;GSH CORP PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;0.000000;0.00;0.00;0.00
08.397.078/0001-01;2025-12-31;5;152797;GSH CORP PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;7.00;0.00;0.000000;0.00;0.00;0.00
08.397.078/0001-01;2025-12-31;5;152797;GSH CORP PARTICIPAÇÕES S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;7.00;0.00;0.000000;0.00;0.00;0.00
08.402.943/0001-52;2025-12-31;6;154817;GUARARAPES CONFECCOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.402.943/0001-52;2025-12-31;6;154817;GUARARAPES CONFECCOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;0.180000;6.18;0.00;0.00
08.402.943/0001-52;2025-12-31;6;154817;GUARARAPES CONFECCOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.402.943/0001-52;2025-12-31;6;154817;GUARARAPES CONFECCOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.25;1.33;0.000000;0.00;4.51;0.00
08.402.943/0001-52;2025-12-31;6;154817;GUARARAPES CONFECCOES S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.402.943/0001-52;2025-12-31;6;154817;GUARARAPES CONFECCOES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;0.100000;6.40;4.51;0.00
08.402.943/0001-52;2025-12-31;6;154817;GUARARAPES CONFECCOES S.A.;2025-01-01;2025-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.402.943/0001-52;2025-12-31;6;154817;GUARARAPES CONFECCOES S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;3.00;3.00;0.290000;6.40;0.00;0.00
08.424.178/0001-71;2025-12-31;1;148422;TECBLU TECELAGEM BLUMENAU S.A.;2024-01-01;2024-12-31;Conselho de Administração;3.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2025-12-31;5;154696;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2023-01-01;2023-12-31;Conselho de Administração;4.17;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2025-12-31;5;154696;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2023-01-01;2023-12-31;Diretoria Estatutária;9.08;1.00;3.180000;23.59;0.00;0.00
08.467.115/0001-00;2025-12-31;5;154696;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2022-01-01;2022-12-31;Conselho de Administração;4.42;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2025-12-31;5;154696;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2022-01-01;2022-12-31;Diretoria Estatutária;6.00;1.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2025-12-31;5;154696;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2024-01-01;2024-12-31;Conselho de Administração;4.92;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2025-12-31;5;154696;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2024-01-01;2024-12-31;Diretoria Estatutária;9.00;1.00;3.180000;26.38;0.00;25.93
08.467.115/0001-00;2025-12-31;5;154696;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2025-01-01;2025-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2025-12-31;5;154696;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2025-01-01;2025-12-31;Diretoria Estatutária;9.00;1.00;3.180000;26.04;0.00;0.00
08.534.605/0001-74;2025-12-31;6;153741;RENOVA ENERGIA S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.83;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2025-12-31;6;153741;RENOVA ENERGIA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;5.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2025-12-31;6;153741;RENOVA ENERGIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.42;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2025-12-31;6;153741;RENOVA ENERGIA S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2025-12-31;6;153741;RENOVA ENERGIA S.A.;2023-01-01;2023-12-31;Conselho Fiscal;4.08;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2025-12-31;6;153741;RENOVA ENERGIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2025-12-31;6;153741;RENOVA ENERGIA S.A.;2024-01-01;2024-12-31;Conselho de Administração;6.08;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2025-12-31;6;153741;RENOVA ENERGIA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.08;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2025-12-31;6;153741;RENOVA ENERGIA S.A.;2024-01-01;2024-12-31;Conselho Fiscal;1.33;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2025-12-31;6;153741;RENOVA ENERGIA S.A.;2025-01-01;2025-12-31;Conselho de Administração;8.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2025-12-31;6;153741;RENOVA ENERGIA S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2025-12-31;8;154351;CIA CELG DE PARTICIPACOES - CELGPAR;2022-01-01;2022-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2025-12-31;8;154351;CIA CELG DE PARTICIPACOES - CELGPAR;2022-01-01;2022-12-31;Conselho Fiscal;7.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2025-12-31;8;154351;CIA CELG DE PARTICIPACOES - CELGPAR;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2025-12-31;8;154351;CIA CELG DE PARTICIPACOES - CELGPAR;2023-01-01;2023-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2025-12-31;8;154351;CIA CELG DE PARTICIPACOES - CELGPAR;2023-01-01;2023-12-31;Conselho Fiscal;6.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2025-12-31;8;154351;CIA CELG DE PARTICIPACOES - CELGPAR;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2025-12-31;8;154351;CIA CELG DE PARTICIPACOES - CELGPAR;2024-01-01;2024-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2025-12-31;8;154351;CIA CELG DE PARTICIPACOES - CELGPAR;2024-01-01;2024-12-31;Conselho Fiscal;5.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2025-12-31;8;154351;CIA CELG DE PARTICIPACOES - CELGPAR;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.613.550/0001-98;2025-12-31;2;149341;NEXPE PARTICIPAÇÕES S.A;2023-01-01;2023-12-31;Diretoria Estatutária;1.00;1.00;1.410000;0.00;0.00;0.00
08.613.550/0001-98;2025-12-31;2;149341;NEXPE PARTICIPAÇÕES S.A;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;1.140000;0.00;0.00;0.00
08.613.550/0001-98;2025-12-31;2;149341;NEXPE PARTICIPAÇÕES S.A;2024-01-01;2024-12-31;Diretoria Estatutária;1.00;1.00;1.410000;0.00;0.00;0.00
08.613.550/0001-98;2025-12-31;2;149341;NEXPE PARTICIPAÇÕES S.A;2025-01-01;2025-12-31;Diretoria Estatutária;1.00;1.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2025-12-31;4;154760;2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho de Administração;8.00;3.00;19.944000;1.39;0.00;0.00
08.773.135/0001-00;2025-12-31;4;154760;2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;9.00;9.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2025-12-31;4;154760;2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2025-12-31;4;154760;2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho de Administração;9.00;3.00;19.944000;1.40;0.00;0.00
08.773.135/0001-00;2025-12-31;4;154760;2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Diretoria Estatutária;13.00;13.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2025-12-31;4;154760;2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2025-12-31;7;151941;SYN PROP & TECH S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2025-12-31;7;151941;SYN PROP & TECH S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.42;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2025-12-31;7;151941;SYN PROP & TECH S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2025-12-31;7;151941;SYN PROP & TECH S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.33;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2025-12-31;7;151941;SYN PROP & TECH S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2025-12-31;7;151941;SYN PROP & TECH S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2025-12-31;7;151941;SYN PROP & TECH S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2025-12-31;7;151941;SYN PROP & TECH S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2025-12-31;7;151941;SYN PROP & TECH S.A.;2024-01-01;2024-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2025-12-31;7;151941;SYN PROP & TECH S.A.;2025-01-01;2025-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2025-12-31;7;151941;SYN PROP & TECH S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2025-12-31;7;151941;SYN PROP & TECH S.A.;2025-01-01;2025-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2025-12-31;7;154068;YDUQS PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2025-12-31;7;154068;YDUQS PARTICIPACOES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;1.00;18.000000;0.00;0.00;0.00
08.807.432/0001-10;2025-12-31;7;154068;YDUQS PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;1.00;18.000000;0.00;0.00;0.00
08.807.432/0001-10;2025-12-31;7;154068;YDUQS PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.83;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2025-12-31;7;154068;YDUQS PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;1.00;7.000000;14.18;14.18;0.00
08.807.432/0001-10;2025-12-31;7;154068;YDUQS PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.67;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2025-12-31;7;154068;YDUQS PARTICIPACOES S.A.;2025-01-01;2025-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2025-12-31;7;154068;YDUQS PARTICIPACOES S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;1.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2025-12-31;11;154424;TRISUL S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2025-12-31;11;154424;TRISUL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2025-12-31;11;154424;TRISUL S.A.;2024-01-01;2024-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2025-12-31;11;154424;TRISUL S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2025-12-31;11;154424;TRISUL S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2025-12-31;11;154424;TRISUL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2025-12-31;11;154424;TRISUL S.A.;2025-01-01;2025-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2025-12-31;11;154424;TRISUL S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
09.041.168/0001-10;2025-12-31;3;153794;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;2023-01-01;2023-12-31;Diretoria Estatutária;3.50;3.50;159.000000;23.14;0.00;0.00
09.041.168/0001-10;2025-12-31;3;153794;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;18.000000;24.74;0.00;0.00
09.041.168/0001-10;2025-12-31;3;153794;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;4.00;196.000000;15.43;0.00;0.00
09.042.817/0001-05;2025-12-31;5;154449;BEMOBI MOBILE TECH S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;4.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2025-12-31;5;154449;BEMOBI MOBILE TECH S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2025-12-31;5;154449;BEMOBI MOBILE TECH S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.30;3.30;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2025-12-31;5;154449;BEMOBI MOBILE TECH S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2025-12-31;5;154449;BEMOBI MOBILE TECH S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2025-12-31;5;154449;BEMOBI MOBILE TECH S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2025-12-31;5;154449;BEMOBI MOBILE TECH S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2025-12-31;5;154449;BEMOBI MOBILE TECH S.A.;2025-01-01;2025-12-31;Conselho de Administração;8.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2025-12-31;5;154449;BEMOBI MOBILE TECH S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2025-12-31;5;154449;BEMOBI MOBILE TECH S.A.;2025-01-01;2025-12-31;Conselho Fiscal;3.00;3.00;0.000000;0.00;0.00;0.00
09.053.134/0001-45;2025-12-31;1;148718;ELFA MEDICAMENTOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.00;4.00;128.000000;1.87;0.00;0.00
09.053.134/0001-45;2025-12-31;1;148718;ELFA MEDICAMENTOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;128.000000;1.87;0.00;0.00
09.053.134/0001-45;2025-12-31;1;148718;ELFA MEDICAMENTOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;3.00;116.000000;2.68;0.00;0.00
09.053.134/0001-45;2025-12-31;1;148718;ELFA MEDICAMENTOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;10.000000;5.45;3.98;0.00
09.053.134/0001-45;2025-12-31;1;148718;ELFA MEDICAMENTOS S.A.;2024-01-01;2024-12-31;Conselho de Administração;4.10;3.10;0.300000;1.50;0.00;0.00
09.053.134/0001-45;2025-12-31;1;148718;ELFA MEDICAMENTOS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.80;4.80;0.000000;2.10;0.00;0.00
09.053.134/0001-45;2025-12-31;1;148718;ELFA MEDICAMENTOS S.A.;2025-01-01;2025-12-31;Conselho de Administração;4.00;4.00;0.000000;0.00;0.00;0.00
09.053.134/0001-45;2025-12-31;1;148718;ELFA MEDICAMENTOS S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;5.00;5.00;0.000000;0.00;0.00;0.00
09.112.685/0001-32;2025-12-31;1;148779;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;2.00;0.000000;0.00;0.00;0.00
09.112.685/0001-32;2025-12-31;1;148779;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho de Administração;5.00;5.00;0.000000;0.00;0.00;0.00
